Cód. Parceiro;Qty;Prazo Cross Dock
4201BGPTM;0;12
4201BGPTG;0;12
4201BGPTGG;0;12
4201BGPTXGG;0;12
4201GRPP;2;2
4201GRP;0;12
4201GRM;0;12
4201GRG;0;12
4201GRGG;0;12
4201GRXGG;0;12
4201PTP;0;12
4201PTM;0;12
4201PTG;0;12
4201PTGG;0;12
4202AZP;0;12
4202GRP;0;12
4202GRM;0;12
4202GRG;0;12
4202GRGG;0;12
4202GRXGG;0;12
4202MRPP;0;12
4202PTP;0;12
4202PTM;0;12
4202PTG;0;12
4202PTGG;0;12
4202PTXGG;0;12
4202BGP;0;12
4202BGM;0;12
4202BGG;0;12
4202BGGG;0;12
4202CQP;0;12
4202CQG;0;12
4136PTCZP;0;12
4136PTCZM;0;12
4136PTCZG;0;12
4136PTCZGG;0;12
4136VMPTP;0;12
4136PTCZXGG;0;12
4136VMPTM;0;12
4136VMPTG;0;12
4136VMPTGG;0;12
4139AZP;0;12
4139AZPP;0;12
4139AZM;0;12
4139VDPP;0;12
4139VDP;0;12
4142PTM;0;12
4142PTG;0;12
4142PTGG;0;12
4122AZGG;0;12
4122AZXGG;0;12
4122CQG;0;12
4122CQGG;0;12
4122CQXGG;0;12
4122CZPTP;0;12
4122CZPTM;0;12
4122CZPTG;0;12
4122CZPTGG;0;12
4122VDPP;0;12
4122VDG;0;12
4122VDGG;0;12
900185UNICA;100;2
4122VDPTP;0;12
4122VDPTM;0;12
4122VDPTG;0;12
4122VDPTGG;0;12
4143PTP;0;12
4143PTM;0;12
4143PTG;0;12
4143PTGG;0;12
4144PTP;0;12
4144PTM;0;12
4144PTG;0;12
4144PTGG;0;12
4146PTM;0;12
4124VDGG;0;12
900195UNICA;100;2
4124AZGG;0;12
4124AZXGG;0;12
4124CQM;0;12
4124CQG;0;12
4124CQGG;0;12
4124CQXGG;0;12
4124CZPTP;0;12
4124CZPTM;0;12
4124CZPTG;0;12
900190UNICA;100;2
4124CZPTGG;0;12
4124CZPTXGG;0;12
4124VDPTP;0;12
4124VDPTM;0;12
4124VDPTG;0;12
4124VDPTGG;0;12
4123AZM;0;12
4123AZXGG;0;12
4123PTPP;0;12
4123PTGG;0;12
4123PTXGG;0;12
4123VDCLP;0;12
4123VDCLM;0;12
4123VDCLG;0;12
4123VDCLGG;0;12
4123VDCLXGG;0;12
4123VOPP;0;12
4123VOP;0;12
4123VOM;0;12
4123VMPP;0;12
4123VMM;0;12
4123CZPP;0;12
4123MRPP;0;12
4125AZM;0;12
4125PTM;0;12
4125PTG;0;12
4125VDM;0;12
4126AZM;0;12
4126AZGG;0;12
4126MRM;0;12
4126VDM;0;12
4126VMPTM;0;12
4126VMPTG;0;12
4126VMPTGG;0;12
4126PTM;0;12
4126PTGG;0;12
4128CZPTP;0;12
4128CZPTM;0;12
4128CZPTG;0;12
4128CZPTGG;0;12
4128GRRSP;0;12
4128GRRSM;0;12
4128GRRSG;0;12
4128GRRSGG;0;12
4128AZPP;0;12
4128AZCZM;0;12
4128RSCZPP;0;12
4128RSCZM;0;12
4131MRP;0;12
4131MRM;0;12
4131AMM;0;12
4131VMM;0;12
4131MRAZPP;0;12
4131MRAZP;0;12
4131MRAZM;0;12
4131MRAZG;0;12
3400m;0;12
3400p;0;12
4131;0;12
F015;1;2
F016;2;2
G112;1;2
G115;0;6
G125;0;6
G126;5;2
G128;2;2
G129;1;2
G138;3;2
G139;2;2
G141;1;2
G143;2;2
G153;0;6
G187;1;2
G191;0;6
G198;0;6
GA006;1;2
GA023;0;6
GA031;1;2
GA047;0;6
17cz-pt;0;12
110120001127;0;12
110120016543;1;2
110120016542;1;2
110120016490;0;12
110120016516;0;12
110120016708;4;2
110120016962;0;12
560510UNICA;100;10
315133020;0;2
315133007;1;2
315133008;0;6
315133011;1;2
1450vd;0;12
50vd-pt;0;12
101231250105;0;15
101387240105;0;15
101387451201;0;15
100773130105;0;15
100773130107;0;15
100773211514;1;2
100776210121;0;15
101800010107;0;15
101800011506;0;15
101800030107;0;15
101800031506;0;15
101080121505;0;15
101080120105;0;15
101080141505;0;15
100581110107;4;2
100581111507;1;2
100982111502;0;15
100783110107;0;15
100783120105;0;15
100783130105;0;15
100783130107;2;2
100783131506;0;15
100783211516;0;15
100688030107;0;15
100396010107;0;15
100396011523;0;15
100396211516;1;2
100396510107;0;15
100197201512;0;15
100197221512;3;2
100197280105;0;15
100197410105;0;15
100297580105;0;15
100297580107;0;15
100198020105;0;15
100198110105;0;15
101731171524;4;2
101631281401;4;2
UA0201;1;2
5333;0;2
10392W;8;2
10368W;0;12
10373M;0;12
7891437011232;89;10
7891437011249;73;10
7891437011263;82;10
7891437696279;5559;2
7891437696286;478;10
7891437780473;2202;10
7891437696361;4486;10
7891437091258;0;10
7891437019948;1182;10
7891437746110;12985;10
7891437059395;4029;10
7891437059401;3324;10
7891437844724;3437;10
7891437761984;13860;10
7891437761991;1564;10
7891437762004;17152;10
7891437762011;12506;10
7891437107935;1;2
7891437938966;823;10
7891437108741;7741;10
7891437108758;8949;10
7891437108765;1678;10
7891437238110;17995;10
7891437238127;2745;10
7891437239353;7073;10
7891437238165;27898;2
7891437526774;4722;10
7891437526781;10950;10
7891437526798;10945;2
7891437394618;1448;10
7891437616970;993;10
7891437616987;3172;10
7891437696057;2227;10
7891437695869;3670;10
7891437695883;2849;10
7891437491553;559;10
7891437491577;568;10
7891437660980;408;10
7891437612804;893;10
7891437612811;230;10
7891437612828;1841;10
7891437734834;214;10
7891437734841;80;10
7891437734865;212;10
7891437788950;1376;10
7891437980453;2905;2
7891437980460;6031;10
7891437980477;2995;10
7891437980484;1444;10
7891437417638;963;10
7891437335390;6643;2
7891437335406;1;2
7891437335413;12557;10
7891437335420;13773;10
7891437334607;1341;10
7891437334621;6291;10
7891437333402;2196;10
7891437333532;2076;10
7891437333549;2516;10
7891437421062;2609;2
7891437421079;7729;10
7891437421086;892;10
7891437419885;2035;10
7891437419861;1832;10
7891437388297;2910;10
7891437436073;3619;10
7891437421338;2513;10
7891437842195;1976;10
